,#SampleID,ERR209679_1_kneaddata_taxonomic_profile,ERR209680_1_kneaddata_taxonomic_profile,ERR209681_1_kneaddata_taxonomic_profile,ERR209684_1_kneaddata_taxonomic_profile,ERR209685_1_kneaddata_taxonomic_profile,ERR209690_1_kneaddata_taxonomic_profile,ERR209691_1_kneaddata_taxonomic_profile,ERR209692_1_kneaddata_taxonomic_profile,ERR209693_1_kneaddata_taxonomic_profile,ERR209695_1_kneaddata_taxonomic_profile,ERR209696_1_kneaddata_taxonomic_profile,ERR209697_1_kneaddata_taxonomic_profile,ERR209698_1_kneaddata_taxonomic_profile,ERR209699_1_kneaddata_taxonomic_profile,ERR209700_1_kneaddata_taxonomic_profile,ERR209701_1_kneaddata_taxonomic_profile,ERR209706_1_kneaddata_taxonomic_profile,ERR209707_1_kneaddata_taxonomic_profile,ERR209708_1_kneaddata_taxonomic_profile,ERR209709_1_kneaddata_taxonomic_profile,ERR209710_1_kneaddata_taxonomic_profile,ERR209711_1_kneaddata_taxonomic_profile,ERR209715_1_kneaddata_taxonomic_profile,ERR209716_1_kneaddata_taxonomic_profile,ERR209717_1_kneaddata_taxonomic_profile,ERR209729_1_kneaddata_taxonomic_profile,ERR209730_1_kneaddata_taxonomic_profile,ERR209731_1_kneaddata_taxonomic_profile,ERR209732_1_kneaddata_taxonomic_profile,ERR209739_1_kneaddata_taxonomic_profile,ERR209740_1_kneaddata_taxonomic_profile,ERR209743_1_kneaddata_taxonomic_profile,ERR209744_1_kneaddata_taxonomic_profile,ERR209745_1_kneaddata_taxonomic_profile,ERR209746_1_kneaddata_taxonomic_profile
0,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii_pseudocatenulatum|t__Methanobrevibacter_smithii_unclassified,0.02968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii_pseudocatenulatum|t__Actinomyces_graevenitzii_unclassified,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00306,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa_pseudocatenulatum|t__Rothia_dentocariosa_unclassified,0.40963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa_pseudocatenulatum|t__Rothia_mucilaginosa_unclassified,0.16636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens_pseudocatenulatum|t__Alloscardovia_omnicolens_unclassified,0.28493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis_pseudocatenulatum|t__Bifidobacterium_adolescentis_unclassified,0.34122,0.0,0.0,0.0,0.0,0.44449,0.0,3.8741,4.56226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68809,0.78828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00537,0.0,0.0,0.0,2.14546,1.99393,0.0,0.0,0.0,0.0
6,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum_pseudocatenulatum|t__Bifidobacterium_bifidum_unclassified,0.0,0.0,0.0,0.0,0.0,0.02203,0.0,0.75216,0.91913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9212,0.00127,0.006,2.25727,1.95226,18.06946,12.70893,5.47497,4.67447,0.0,0.0,0.0,0.0
7,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve_pseudocatenulatum|t__Bifidobacterium_breve_unclassified,10.09057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum_pseudocatenulatum|t__GCF_000173455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40067,0.4144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69375,0.58383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61482,0.64602,0.0,0.0,0.0,0.0
9,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium_pseudocatenulatum|t__Bifidobacterium_dentium_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum_pseudocatenulatum|t__Bifidobacterium_longum_unclassified,6.31532,0.0,0.0,0.0,0.0,0.2655,0.0,2.02515,2.349,1.38299,1.97814,1.45091,8.72444,6.43854,0.09828,0.07179,0.0,0.0,1.0745,0.79104,1.15109,0.77967,0.32545,0.05363,0.07954,1.35686,1.27123,7.92225,5.48772,2.72604,2.91434,0.0,0.0,0.0969,0.08616
